Experiment,Vertices,Edges,Density,Status,Algorithm,Time(ms),Memory(KB),Weight
V100_D0.010000,100,99,0.01,COMPLETED,Kruskal,0.0304,4,4886.22
V100_D0.010000,100,99,0.01,COMPLETED,Prim_BinaryHeap,0.008,0,4886.22
V100_D0.010000,100,99,0.01,COMPLETED,KKT,0.0618,36,4886.22
V100_D0.010000,100,99,0.01,COMPLETED,Boruvka_Parallel_2threads,1.2125,136,4886.22
V100_D0.010000,100,99,0.01,COMPLETED,Boruvka_Parallel_4threads,1.1728,8,4886.22
V100_D0.020000,100,99,0.02,COMPLETED,Kruskal,0.0091,0,4973.9
V100_D0.020000,100,99,0.02,COMPLETED,Prim_BinaryHeap,0.017,0,4973.9
V100_D0.020000,100,99,0.02,COMPLETED,KKT,0.048,20,4973.9
V100_D0.020000,100,99,0.02,COMPLETED,Boruvka_Parallel_2threads,0.7871,0,4973.9
V100_D0.020000,100,99,0.02,COMPLETED,Boruvka_Parallel_4threads,1.4079,0,4973.9
V100_D0.050000,100,247,0.05,COMPLETED,Kruskal,0.0299,4,2627.17
V100_D0.050000,100,247,0.05,COMPLETED,Prim_BinaryHeap,0.0257,0,2627.17
V100_D0.050000,100,247,0.05,COMPLETED,KKT,0.2177,36,2627.17
V100_D0.050000,100,247,0.05,COMPLETED,Boruvka_Parallel_2threads,0.9967,0,2627.17
V100_D0.050000,100,247,0.05,COMPLETED,Boruvka_Parallel_4threads,1.0049,0,2627.17
V100_D0.100000,100,495,0.1,COMPLETED,Kruskal,0.0404,8,1189.26
V100_D0.100000,100,495,0.1,COMPLETED,Prim_BinaryHeap,0.0383,0,1189.26
V100_D0.100000,100,495,0.1,COMPLETED,KKT,0.2345,12,1189.26
V100_D0.100000,100,495,0.1,COMPLETED,Boruvka_Parallel_2threads,0.4945,0,1189.26
V100_D0.100000,100,495,0.1,COMPLETED,Boruvka_Parallel_4threads,0.8243,4,1189.26
V100_D0.200000,100,990,0.2,COMPLETED,Kruskal,0.0652,16,699.121
V100_D0.200000,100,990,0.2,COMPLETED,Prim_BinaryHeap,0.0386,0,699.121
V100_D0.200000,100,990,0.2,COMPLETED,KKT,0.3488,52,699.121
V100_D0.200000,100,990,0.2,COMPLETED,Boruvka_Parallel_2threads,0.703,0,699.121
V100_D0.200000,100,990,0.2,COMPLETED,Boruvka_Parallel_4threads,0.6352,0,699.121
V100_D0.500000,100,2475,0.5,COMPLETED,Kruskal,0.1438,40,308.063
V100_D0.500000,100,2475,0.5,COMPLETED,Prim_BinaryHeap,0.0569,0,308.063
V100_D0.500000,100,2475,0.5,COMPLETED,KKT,0.5902,64,308.063
V100_D0.500000,100,2475,0.5,COMPLETED,Boruvka_Parallel_2threads,0.6464,0,308.063
V100_D0.500000,100,2475,0.5,COMPLETED,Boruvka_Parallel_4threads,1.4139,0,308.063
V100_D1.000000,100,99,1,COMPLETED,Kruskal,0.0137,0,5224.45
