Experiment,Vertices,Edges,Density,Algorithm,Time(ms),Memory(KB),Weight
V1000_D0.010000,1000,4995,0.01,Kruskal,0.2917,84,13128.9
V1000_D0.010000,1000,4995,0.01,Prim_BinaryHeap,0.3578,240,13128.9
V1000_D0.010000,1000,4995,0.01,KKT,3.9598,216,13128.9
V1000_D0.010000,1000,4995,0.01,Boruvka_Parallel_2threads,1.5445,148,13128.9
V1000_D0.010000,1000,4995,0.01,Boruvka_Parallel_4threads,1.9102,8,13128.9
V1000_D0.100000,1000,49950,0.1,Kruskal,3.2494,872,2235.72
V1000_D0.100000,1000,49950,0.1,Prim_BinaryHeap,1.0966,88,2235.72
V1000_D0.100000,1000,49950,0.1,KKT,24.1306,1408,2235.72
V1000_D0.100000,1000,49950,0.1,Boruvka_Parallel_2threads,5.1797,40,2235.72
V1000_D0.100000,1000,49950,0.1,Boruvka_Parallel_4threads,3.9499,0,2235.72
V1000_D1.000000,1000,999,1,Kruskal,0.0663,16,49547.7
V1000_D1.000000,1000,999,1,Prim_BinaryHeap,0.0696,0,49547.7
V1000_D1.000000,1000,999,1,KKT,0.6171,64,49547.7
V1000_D1.000000,1000,999,1,Boruvka_Parallel_2threads,1.3369,48,49547.7
V1000_D1.000000,1000,999,1,Boruvka_Parallel_4threads,1.3601,0,49547.7
V1000_D5.000000,1000,2500,5,Kruskal,0.261,36,23221.6
V1000_D5.000000,1000,2500,5,Prim_BinaryHeap,0.2157,16,23221.6
V1000_D5.000000,1000,2500,5,KKT,2.2031,18446744073709551552,23221.6
V1000_D5.000000,1000,2500,5,Boruvka_Parallel_2threads,0.9128,104,23221.6
V1000_D5.000000,1000,2500,5,Boruvka_Parallel_4threads,0.9014,4,23221.6
V5000_D0.010000,5000,124975,0.01,Kruskal,7.2898,2160,16832
V5000_D0.010000,5000,124975,0.01,Prim_BinaryHeap,3.1049,332,16832
V5000_D0.010000,5000,124975,0.01,KKT,124.261,3008,16832
V5000_D0.010000,5000,124975,0.01,Boruvka_Parallel_2threads,10.2832,240,16832
V5000_D0.010000,5000,124975,0.01,Boruvka_Parallel_4threads,9.9838,4,16832
V5000_D0.100000,5000,1249750,0.1,Kruskal,84.2818,19732,6206.95
V5000_D0.100000,5000,1249750,0.1,Prim_BinaryHeap,12.2441,820,6206.95
V5000_D0.100000,5000,1249750,0.1,KKT,1245.09,34512,6206.95
V5000_D0.100000,5000,1249750,0.1,Boruvka_Parallel_2threads,73.1275,116,6206.95
V5000_D0.100000,5000,1249750,0.1,Boruvka_Parallel_4threads,54.2548,4,6206.95
V5000_D1.000000,5000,4999,1,Kruskal,0.3871,156,253378
V5000_D1.000000,5000,4999,1,Prim_BinaryHeap,0.4109,20,253378
V5000_D1.000000,5000,4999,1,KKT,9.095,268,253378
V5000_D1.000000,5000,4999,1,Boruvka_Parallel_2threads,1.8516,364,253378
V5000_D1.000000,5000,4999,1,Boruvka_Parallel_4threads,2.0995,340,253378
V5000_D5.000000,5000,12500,5,Kruskal,1.1278,108,121124
V5000_D5.000000,5000,12500,5,Prim_BinaryHeap,1.2158,88,121124
V5000_D5.000000,5000,12500,5,KKT,18.3955,404,121124
V5000_D5.000000,5000,12500,5,Boruvka_Parallel_2threads,2.8082,268,121124
V5000_D5.000000,5000,12500,5,Boruvka_Parallel_4threads,3.2114,120,121124
V10000_D0.010000,10000,499950,0.01,Kruskal,32.1178,8252,21830.7
V10000_D0.010000,10000,499950,0.01,Prim_BinaryHeap,10.7359,1276,21830.7
V10000_D0.010000,10000,499950,0.01,KKT,881.412,11040,21830.7
V10000_D0.010000,10000,499950,0.01,Boruvka_Parallel_2threads,47.6724,308,21830.7
V10000_D0.010000,10000,499950,0.01,Boruvka_Parallel_4threads,33.2075,80,21830.7
V10000_D0.100000,10000,4999500,0.1,Kruskal,402.398,78544,11192.1
V10000_D0.100000,10000,4999500,0.1,Prim_BinaryHeap,45.571,1656,11192.1
V10000_D0.100000,10000,4999500,0.1,KKT,9329.54,123692,11192.1
V10000_D0.100000,10000,4999500,0.1,Boruvka_Parallel_2threads,378.741,16,11192.1
V10000_D0.100000,10000,4999500,0.1,Boruvka_Parallel_4threads,241.441,0,11192.1
V10000_D1.000000,10000,9999,1,Kruskal,0.7052,304,507973
V10000_D1.000000,10000,9999,1,Prim_BinaryHeap,0.7089,72,507973
V10000_D1.000000,10000,9999,1,KKT,25.2215,2264,507973
V10000_D1.000000,10000,9999,1,Boruvka_Parallel_2threads,2.2054,8,507973
V10000_D1.000000,10000,9999,1,Boruvka_Parallel_4threads,2.6036,0,507973
V10000_D5.000000,10000,25000,5,Kruskal,1.657,604,240862
V10000_D5.000000,10000,25000,5,Prim_BinaryHeap,2.4552,160,240862
V10000_D5.000000,10000,25000,5,KKT,49.9196,18446744073709550868,240862
V10000_D5.000000,10000,25000,5,Boruvka_Parallel_2threads,4.5051,684,240862
V10000_D5.000000,10000,25000,5,Boruvka_Parallel_4threads,3.6928,88,240862
V25000_D0.010000,25000,3124875,0.01,Kruskal,296.581,49832,36820.8
V25000_D0.010000,25000,3124875,0.01,Prim_BinaryHeap,45.8253,2152,36820.8
V25000_D0.010000,25000,3124875,0.01,KKT,11372.1,94292,36820.8
V25000_D0.010000,25000,3124875,0.01,Boruvka_Parallel_2threads,296.529,732,36820.8
V25000_D0.010000,25000,3124875,0.01,Boruvka_Parallel_4threads,221.97,0,36820.8
V25000_D0.100000,25000,31248750,0.1,Kruskal,2944.28,489168,26194.8
V25000_D0.100000,25000,31248750,0.1,Prim_BinaryHeap,299.865,3132,26194.8
V25000_D0.100000,25000,31248750,0.1,KKT,128442,897868,26194.8
V25000_D0.100000,25000,31248750,0.1,Boruvka_Parallel_2threads,2818.15,64,26194.8
V25000_D0.100000,25000,31248750,0.1,Boruvka_Parallel_4threads,2114.4,0,26194.8
V25000_D1.000000,25000,24999,1,Kruskal,3.6076,1044,1.25676e+06
V25000_D1.000000,25000,24999,1,Prim_BinaryHeap,4.1529,188,1.25676e+06
V25000_D1.000000,25000,24999,1,KKT,214.465,5048,1.25676e+06
V25000_D1.000000,25000,24999,1,Boruvka_Parallel_2threads,7.8446,0,1.25676e+06
V25000_D1.000000,25000,24999,1,Boruvka_Parallel_4threads,9.743,0,1.25676e+06
V25000_D5.000000,25000,62500,5,Kruskal,7.4957,1156,607203
V25000_D5.000000,25000,62500,5,Prim_BinaryHeap,11.2637,0,607203
V25000_D5.000000,25000,62500,5,KKT,380.268,9780,607203
V25000_D5.000000,25000,62500,5,Boruvka_Parallel_2threads,17.6119,0,607203
V25000_D5.000000,25000,62500,5,Boruvka_Parallel_4threads,13.1385,0,607205
V50000_D0.010000,50000,49999,0.01,Kruskal,9.9965,3992,2.52852e+06
V50000_D0.010000,50000,49999,0.01,Prim_BinaryHeap,2.6991,1232,2.52852e+06
V50000_D0.010000,50000,49999,0.01,KKT,797.271,11812,2.52852e+06
V50000_D0.010000,50000,49999,0.01,Boruvka_Parallel_2threads,15.2399,1400,2.52852e+06
V50000_D0.010000,50000,49999,0.01,Boruvka_Parallel_4threads,12.7314,820,2.52852e+06
V50000_D0.100000,50000,49999,0.1,Kruskal,11.0915,3936,2.53056e+06
V50000_D0.100000,50000,49999,0.1,Prim_BinaryHeap,2.6378,1236,2.53056e+06
V50000_D0.100000,50000,49999,0.1,KKT,662.949,11868,2.53056e+06
V50000_D0.100000,50000,49999,0.1,Boruvka_Parallel_2threads,14.8705,1408,2.53056e+06
V50000_D0.100000,50000,49999,0.1,Boruvka_Parallel_4threads,13.8219,792,2.53056e+06
V50000_D1.000000,50000,49999,1,Kruskal,5.2849,916,2.51438e+06
V50000_D1.000000,50000,49999,1,Prim_BinaryHeap,6.7813,848,2.51438e+06
V50000_D1.000000,50000,49999,1,KKT,608.503,2776,2.51438e+06
V50000_D1.000000,50000,49999,1,Boruvka_Parallel_2threads,11.922,848,2.51438e+06
V50000_D1.000000,50000,49999,1,Boruvka_Parallel_4threads,12.1141,836,2.51438e+06
V50000_D5.000000,50000,125000,5,Kruskal,12.006,2880,1.20626e+06
V50000_D5.000000,50000,125000,5,Prim_BinaryHeap,17.5606,1560,1.20626e+06
V50000_D5.000000,50000,125000,5,KKT,1164.29,24740,1.20626e+06
V50000_D5.000000,50000,125000,5,Boruvka_Parallel_2threads,20.2354,2696,1.20627e+06
V50000_D5.000000,50000,125000,5,Boruvka_Parallel_4threads,21.2755,832,1.20628e+06
